,Country name,Year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,Standard deviation of ladder by country-year,Region
90,Mozambique,2017,4.279863358,7.035358906,0.678463697,53.20000076,0.8226705190000001,-0.024964124,0.682108939,0.648381412,0.353176504,0.7592343690000001,-0.699048221,-0.871083498,2.985019922,SUB-SAHARAN AFRICA
91,Myanmar,2017,4.1543416980000005,8.629019737,0.7951838370000001,58.70000076,0.886011839,0.629576743,0.6188215020000001,0.74564749,0.28228554100000003,0.82417655,-0.974802852,-0.848311067,2.233865976,ASIA (EX. NEAR EAST)
92,Namibia,2017,4.441306114,9.163438797000001,0.82833904,56.20000076,0.810401857,-0.196625322,0.8313028809999999,0.72067821,0.277252167,0.7458536029999999,0.598779202,0.143256173,2.739773273,SUB-SAHARAN AFRICA
93,Nepal,2017,4.736692429,7.80090189,0.816383302,62.40000153,0.84514761,0.144506738,0.770177126,0.570577025,0.375977933,0.559578538,-0.448143601,-0.755725801,2.468453646,ASIA (EX. NEAR EAST)
94,Netherlands,2017,7.458965302,10.78875256,0.936501324,72.19999695,0.920319736,0.244597197,0.363133639,0.852184892,0.184519842,0.669553638,1.2429327959999998,1.899130225,1.318479896,WESTERN EUROPE
95,New Zealand,2017,7.32718277,10.49365616,0.95492065,73.0,0.942279458,0.289705753,0.221887484,0.8174312709999999,0.171716571,0.609015465,1.5750092269999998,2.004671097,1.650335789,OCEANIA
96,Nicaragua,2017,6.476356506,8.579500198,0.83804369,67.19999695,0.922162771,0.010300541,0.6729633209999999,0.849764168,0.308447897,0.590425193,-0.382219225,-0.706709802,2.657253265,LATIN AMER. & CARIB
97,Niger,2017,4.615673542,6.830874443,0.582109571,53.0,0.68355757,-0.017152032,0.777660012,0.731161416,0.426522374,0.601117253,-0.8584921959999999,-0.668969095,2.780397892,SUB-SAHARAN AFRICA
98,Nigeria,2017,5.321928024,8.582691192999999,0.7334685329999999,49.29999924,0.8259055609999999,0.113835752,0.834891975,0.724990547,0.235968769,0.558790743,-1.142486572,-0.944861591,2.947903156,SUB-SAHARAN AFRICA
99,Norway,2017,7.578744887999999,11.07906151,0.950127661,73.09999847,0.953016818,0.218105063,0.249711379,0.849099994,0.202913806,0.7171597479999999,1.4226391319999998,2.013393879,1.621726036,WESTERN EUROPE
100,Pakistan,2017,5.830870628,8.524110794,0.6902635690000001,58.09999847,0.7126570940000001,0.030064493,0.7139282229999999,0.586166978,0.30834108600000004,0.557435155,-1.5469545130000002,-0.670003951,1.778067946,ASIA (EX. NEAR EAST)
101,Panama,2017,6.5676589010000015,10.01086235,0.911904812,69.5,0.899573505,-0.160123616,0.8407770990000001,0.832688808,0.24231933100000005,0.390996099,0.455257624,-0.026318185,2.677187681,LATIN AMER. & CARIB
102,Paraguay,2017,5.71329546,9.085571288999999,0.902042508,65.5,0.891171455,0.018430408,0.809900761,0.902772129,0.231783673,0.381784081,0.037547644,-0.604874909,2.428467274,LATIN AMER. & CARIB
103,Peru,2017,5.710936546,9.412195206,0.830123365,67.80000305,0.826552153,-0.163864419,0.895384133,0.7893908620000001,0.393873721,0.254595339,0.008478746,-0.176697567,2.594314098,LATIN AMER. & CARIB
104,Philippines,2017,5.594270229,8.935796737999999,0.851028562,61.79999924,0.925703108,-0.146240324,0.711165547,0.768981457,0.340621501,0.83773005,-0.577247143,-0.233417705,2.597185135,ASIA (EX. NEAR EAST)
105,Poland,2017,6.201268196,10.21157646,0.881854117,68.90000153,0.830842614,-0.127978221,0.8307749,0.677435517,0.203387797,0.502480447,0.651249409,0.678492665,1.6274428369999998,EASTERN EUROPE
106,Portugal,2017,5.711499214,10.23770332,0.899984837,72.19999695,0.905065656,-0.177407518,0.880970538,0.649151087,0.294272572,0.5010881420000001,1.14347434,1.061786056,2.205086708,WESTERN EUROPE
107,Romania,2017,6.089904785,10.05677509,0.8112401370000001,66.90000153,0.838586688,-0.161854967,0.925658047,0.7337303759999999,0.230836198,0.298341334,0.287310094,0.167793587,2.141298056,EASTERN EUROPE
108,Russia,2017,5.578742981,10.11722469,0.8961513040000001,63.90000153,0.73087424,-0.154709876,0.861590207,0.7102302309999999,0.194560528,0.556597233,-0.8826558590000001,-0.5595991020000001,2.124688625,C.W. OF IND. STATES
109,Rwanda,2017,3.10837388,7.525214672000001,0.516550004,60.5,0.908114851,0.050674845,0.213757217,0.7621610759999999,0.358309627,0.981398344,-0.54128325,0.292252868,2.128731251,SUB-SAHARAN AFRICA
110,Saudi Arabia,2017,6.2942824360000005,10.80050182,0.8400862809999999,66.0,0.8141421679999999,-0.14906089,0.637933,0.7748757,0.30584189300000003,0.46862,-1.148168445,0.177424327,2.5089230540000003,NEAR EAST
111,Senegal,2017,4.683024883,7.812208176,0.743759334,59.20000076,0.6869370340000001,-0.031085404,0.8252418640000001,0.7457320690000001,0.290836066,0.61072278,0.135668606,-0.17547138,2.007637501,SUB-SAHARAN AFRICA
112,Serbia,2017,5.122031212,9.550297737000001,0.8837704059999999,67.80000305,0.684846342,-0.077337377,0.8514578340000001,0.50972122,0.326407075,0.5111979839999999,0.109036274,-0.091615312,2.394509554,EASTERN EUROPE
113,Sierra Leone,2017,4.0895624160000015,7.237275124,0.652287126,49.20000076,0.7106135490000001,0.086719848,0.8483983279999999,0.6003682020000001,0.495040029,0.73751694,-0.091980204,-0.875413895,2.59525919,SUB-SAHARAN AFRICA
114,Singapore,2017,6.3784379960000015,11.35668564,0.8973498940000001,76.5,0.926127851,0.12596322599999998,0.161790684,0.800114393,0.179324552,0.92699796,0.708121538,2.069170475,1.418072224,ASIA (EX. NEAR EAST)
115,Slovakia,2017,6.365509033,10.31411076,0.913386643,68.59999847,0.7142246959999999,-0.066592969,0.920422673,0.788020432,0.21272248,0.34168008,0.908611059,0.606627345,1.897521973,EASTERN EUROPE
116,Slovenia,2017,6.1668376920000005,10.35458946,0.928187847,70.80000305,0.920862675,-0.027939947000000003,0.8287947179999999,0.615109682,0.285601437,0.23977972600000005,0.949709475,0.896576881,1.982300639,EASTERN EUROPE
117,South Africa,2017,4.513655186,9.416937828,0.870313287,56.09999847,0.787427902,-0.137357384,0.864781916,0.784800708,0.268175244,0.423274219,0.184953198,0.123070933,2.419569492,SUB-SAHARAN AFRICA
118,South Korea,2017,5.8738870620000005,10.48956108,0.8069299459999999,73.30000305,0.538113713,0.009390867,0.8506904240000001,0.623377562,0.234825626,0.358582199,0.514762044,0.957986534,2.075729609,ASIA (EX. NEAR EAST)
119,South Sudan,2017,2.8166224960000004,7.31322038709,0.556822658,51.0,0.456011087,0.053268509666666665,0.7612696290000001,0.585602164,0.5173637870000001,0.461550504,-2.138769388,-2.018496752,2.736837626,SUB-SAHARAN AFRICA
120,Spain,2017,6.230173111,10.4420948,0.903158188,74.09999847,0.755560756,-0.036033396,0.791268766,0.6250556110000001,0.302387655,0.269585967,0.648078322,0.869333565,1.80572176,WESTERN EUROPE
121,Sri Lanka,2017,4.330945492,9.364697456,0.8227705959999999,67.0,0.827077389,0.088255383,0.8442100290000001,0.7949516179999999,0.269727528,0.5175899270000001,-0.061903223,-0.16968880600000005,2.230376005,ASIA (EX. NEAR EAST)
