,Country name,Year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,Standard deviation of ladder by country-year,Standard deviation/Mean of ladder by country-year,"gini of household income reported in Gallup, by wp5-year"
613,Honduras,2017,6.019985676,8.421077728,0.84335494,67.0,0.898377419,0.078603566,0.783429444,0.842200935,0.248383343,0.495585024,-0.496900558,-0.6778169270000001,2.963586092,0.49229121200000003,0.561559021
623,Hong Kong S.A.R. of China,2017,5.362474918,10.934086800000001,0.83106631,75.90731812,0.8306572440000001,0.128979281,0.41581019799999996,0.63953346,0.200593412,0.5450407270000001,0.637072325,1.8496637340000002,1.7845594880000002,0.33278653,0.47127839899999996
634,Hungary,2017,6.065038681,10.19531918,0.8767475490000001,67.19999695,0.6611659529999999,-0.145813331,0.886361301,0.735184252,0.18092127100000002,0.377770513,0.589618564,0.445649564,1.7924091819999999,0.295531362,0.330753207
640,Iceland,2017,7.476213932,10.74684143,0.966752827,73.0,0.938783288,0.24332368399999998,0.7268453840000001,0.895254552,0.148160011,0.36504194100000004,1.3744952680000002,1.5818408730000002,1.6300908330000001,0.21803695,0.33243790300000003
652,India,2017,4.046111107,8.768212318,0.606767476,59.70000076,0.88585043,-0.053620495,0.780802786,0.682090998,0.31793677800000003,0.8392784,-0.22030808,-0.099256828,1.65982759,0.410227895,0.380112171
665,Indonesia,2017,5.098401546,9.322663307000001,0.7955892090000001,61.90000153,0.865026295,0.47546067799999997,0.900416434,0.8625841740000001,0.319171578,0.8257653709999999,-0.19096761899999998,-0.166090265,2.3251791,0.45606041,0.44970825299999995
676,Iran,2017,4.716783047,9.856533051,0.714232922,65.69999695,0.7306351659999999,0.18662165100000003,0.714941323,0.693666041,0.43853390200000003,0.6577866613000001,-1.114465237,-0.720983267,2.497179031,0.529424191,0.852039635
687,Iraq,2017,4.462399006,9.659119606,0.695109367,59.59999847,0.627722025,-0.037714854,0.757108808,0.505288541,0.59053874,0.42405077799999996,-1.689633727,-1.369387388,2.899484873,0.6497592329999999,0.55036813
698,Ireland,2017,7.060155392,11.11744022,0.943481982,72.19999695,0.905341148,0.21075968399999997,0.33708474,0.833388925,0.21278412600000002,0.603799641,1.155644417,1.463197708,1.761334419,0.24947529999999998,0.367454171
711,Israel,2017,7.3310360910000005,10.40826416,0.916440845,73.09999847,0.7680763009999999,0.142772496,0.7926522490000001,0.673591316,0.27644315399999997,0.38936814700000005,-0.09139624199999999,1.1264346840000001,1.522682905,0.20770365,0.245601237
724,Italy,2017,6.198870182,10.469371800000001,0.9197912220000001,73.40000153,0.632843256,-0.037178084,0.866667926,0.661180735,0.322846144,0.230196297,0.6453157660000001,0.429987013,1.927246571,0.310902864,0.346708387
731,Ivory Coast,2017,5.037734985,8.188968658,0.661375344,48.90000153,0.7320979240000001,-0.096848264,0.770940244,0.697735488,0.35745579,0.516654313,-0.6834599379999999,-0.5640292170000001,2.612090111,0.518504858,0.557953954
737,Jamaica,2017,5.889759064,9.011104584,0.91302985,67.09999847,0.8606763479999999,-0.128097996,0.8827961679999999,0.769282162,0.243399635,0.34820175200000003,0.47238034,0.07647200700000001,2.399337769,0.40737453100000004,0.56453526
749,Japan,2017,5.910676479,10.57137394,0.8819612859999999,74.90000153,0.8493965859999999,-0.217277035,0.659198642,0.740387619,0.17551218,0.412489951,1.064277649,1.5199174880000001,1.9502569440000002,0.32995495199999997,0.42615369
762,Jordan,2017,4.808082581,9.028517723,0.814664543,66.59999847,0.7662624720000001,-0.150125921,0.690156,0.6277983779999999,0.391505182,0.440203,-0.625526786,0.183538705,2.523892403,0.52492702,0.363606215
775,Kazakhstan,2017,5.882351398,10.08812237,0.9140931959999999,64.0,0.7452439670000001,-0.045617759,0.7552506920000001,0.7567622070000001,0.171486408,0.755705774,-0.605611205,-0.26314175100000003,1.7453237769999999,0.296705127,0.337242872
788,Kenya,2017,4.475654125,8.004040717999999,0.714604318,59.5,0.8533943890000001,0.249233559,0.85400039,0.7884522079999999,0.23021030399999998,0.637862563,-0.643422961,-0.478327602,2.532363415,0.565808535,0.521331966
800,Kosovo,2017,6.149199962999999,9.189712523999999,0.792087257,64.87929535,0.857676744,0.11196661,0.92519182,0.7384355659999999,0.18587909600000002,0.298196137,-0.161395013,-0.367653489,2.432453156,0.395572305,0.402043372
811,Kuwait,2017,6.093905449,11.09027195,0.8534913059999999,66.5,0.884181619,-0.039013941,0.738373,0.692071915,0.30732080300000003,0.550352,-0.323726535,-0.11457786,2.355753183,0.386575282,0.591861427
823,Kyrgyzstan,2017,5.6295366289999995,8.129609108,0.882586658,63.79999924,0.859389782,0.164255798,0.8744944929999999,0.755125225,0.160438314,0.561672747,-0.43553543100000003,-0.7608549,1.901391029,0.33775267,0.38215088799999997
830,Laos,2017,4.623140812,8.763640404,0.70733577,58.29999924,0.891000748,0.073066324,0.591616809,0.872791767,0.34422588299999995,0.839935005,-0.660406411,-0.72428298,1.881973863,0.407076895,0.585087001
842,Latvia,2017,5.977817535,10.12918186,0.895098746,66.5,0.6995201109999999,-0.158590496,0.79837811,0.623312771,0.231753111,0.264000505,0.628388107,0.881660819,1.8148031230000001,0.30358958199999997,0.36218524
855,Lebanon,2017,5.153989792,9.50058651,0.7765830159999999,66.59999847,0.604554176,-0.072667308,0.910727262,0.515443921,0.24354921300000001,0.217718095,-1.085361362,-0.6611017579999999,1.929767609,0.37442207299999997,0.326644003
859,Lesotho,2017,3.795300722,7.955478668,0.768551648,47.29999924,0.7565051909999999,-0.153132945,0.796859443,0.7462017540000001,0.255303085,0.695299149,-0.10593645300000001,-0.368156135,2.8437769410000002,0.749288976,0.59147799
866,Liberia,2017,4.424490929,6.623783587999999,0.6848668459999999,55.29999924,0.7333899140000001,0.035448756,0.866806388,0.667946458,0.39133054,0.554991543,-0.216689959,-0.9924836159999999,3.3937399389999996,0.767035127,0.590849876
871,Libya,2017,5.646852493,9.791522026,0.8227587940000001,62.29999924,0.778695881,-0.053038592999999995,0.673065543,0.69704932,0.379374176,0.483422,-1.884452581,-1.840399504,2.5077879430000003,0.444103688,0.586069345
884,Lithuania,2017,6.272940636,10.292967800000001,0.9263166190000001,66.69999695,0.749307334,-0.177641675,0.7897098659999999,0.607613146,0.19511883,0.32124728,0.8829061990000001,0.920204639,2.175804377,0.346855581,0.428504139
